iter	F1	Logloss
164	0.8046481989	0.4370775832
165	0.8046481989	0.4370100201
166	0.8060902128	0.4365555127
167	0.8058940978	0.436089441
168	0.8058940978	0.4360418056
169	0.8068405886	0.4353833724
170	0.8071223398	0.4351296006
171	0.8062607662	0.4348650275
172	0.8067386315	0.4346273521
173	0.8068325778	0.4344623345
174	0.8073179166	0.4341507999
175	0.8074118481	0.4341042621
176	0.8072163006	0.4337161264
177	0.8075058014	0.4334375447
178	0.8075058014	0.4334374952
179	0.8075058014	0.4334193727
180	0.8074983143	0.4328926327
181	0.8089304727	0.4323360814
182	0.8079687753	0.4317213736
183	0.8080629333	0.4316128394
184	0.8080629333	0.4311087211
185	0.8080629333	0.4306536128
186	0.808446539	0.4302508785
187	0.8088363374	0.4298462639
188	0.8089304727	0.4296584702
189	0.80921301	0.4294738761
190	0.8094014779	0.42928766
191	0.8092068641	0.4289481898
192	0.8093011607	0.4284884812
193	0.8096843444	0.4281387578
194	0.8095900336	0.4279854817
195	0.8098786534	0.4277521248
196	0.8098730319	0.4274113941
197	0.8108275492	0.4268609141
198	0.8111156093	0.426470151
199	0.8118798462	0.4261103386
200	0.8127342343	0.4252138646
201	0.8130149337	0.4249884764
202	0.8135890674	0.4244415686
203	0.8132074226	0.4242517486
204	0.8134916001	0.4238501118
205	0.8137759763	0.4236806148
206	0.8134888241	0.4233920197
207	0.8133940018	0.4229010379
208	0.8141577049	0.4224603542
209	0.8148238466	0.4221407267
210	0.8139656709	0.4216405123
211	0.8140628768	0.4212035939
212	0.8152065484	0.4206944015
213	0.8146340521	0.4202148539
214	0.8152051259	0.4199603759
215	0.8157760983	0.4194855608
216	0.8157760983	0.419206412
217	0.8158711007	0.4187993534
218	0.8164420297	0.4186037455
219	0.8172031607	0.4180995288
220	0.8172031607	0.4178733956
221	0.8177740031	0.4176013379
222	0.8177740031	0.4174532169
223	0.8176787823	0.4174305398
224	0.8173935527	0.4172181648
225	0.8184389219	0.4168446055
226	0.818344744	0.4163368661
227	0.818440045	0.4161704243
228	0.818344744	0.4157434245
229	0.8182494653	0.4156590031
230	0.8187247324	0.4151607385
231	0.8191998046	0.4149430768
232	0.8186294401	0.4144800086
233	0.8186294401	0.414323947
234	0.8199585877	0.4138852238
235	0.8204330043	0.4134860076
236	0.8204330043	0.4132525192
237	0.8212857927	0.412822967
238	0.8209072266	0.4124998636
239	0.8208147891	0.412105291
240	0.8208147891	0.4117591692
241	0.8210058147	0.4112431802
242	0.8219544918	0.4110014934
243	0.8221457487	0.410702064
244	0.8221457487	0.4106915417
245	0.8210089593	0.4103937785
246	0.8218627111	0.4100094208
247	0.8211969293	0.4095248121
248	0.821384691	0.4090866988
249	0.8212891537	0.4086098605
250	0.8214802505	0.4082260938
251	0.8218588967	0.4077499948
252	0.8219544918	0.4075866897
253	0.8222372997	0.4073843401
254	0.8232803481	0.4070563947
255	0.8235623698	0.406758979
256	0.8239398284	0.4063023398
257	0.8250834179	0.4058057069
258	0.8255564067	0.4057266972
259	0.8252752338	0.4052720937
260	0.825467139	0.4050174634
261	0.8253711752	0.4046905799
262	0.8252817338	0.404374091
263	0.8250897655	0.4042451439
264	0.8265167325	0.4038569569
265	0.8263244887	0.4035355395
266	0.827174291	0.4031115677
267	0.827462835	0.4028879292
268	0.8269898807	0.4026446426
269	0.827174291	0.4023293257
270	0.8269898807	0.4021681835
271	0.8270860715	0.402012139
272	0.8276553095	0.4017100779
273	0.8276553095	0.4015387077
274	0.8281281404	0.4013468173
275	0.8278478736	0.4010532164
276	0.8278478736	0.4009753188
277	0.8277515804	0.4007696744
278	0.8292756377	0.400035764
279	0.8289862774	0.3999280486
280	0.8291791618	0.3998644193
281	0.8290827084	0.3994898202
282	0.8296518164	0.3989268982
283	0.8305965446	0.3985620159
284	0.8308754528	0.3982901606
285	0.8304034492	0.3981061073
286	0.8302208236	0.3978132042
287	0.830800573	0.3972549118
288	0.8306072332	0.397141659
289	0.8299515979	0.3970184472
290	0.8299515979	0.3968896826
291	0.8309940027	0.3965494627
292	0.8312730862	0.3963214446
293	0.832120745	0.3959945734
294	0.8318421795	0.3958451979
295	0.8324111719	0.3954930376
296	0.8327018016	0.3951345463
297	0.8326049025	0.3950082585
298	0.8318538568	0.3948477068
299	0.8325202279	0.3946687948
300	0.8333678452	0.3944170508
301	0.8329926344	0.3942526139
302	0.8334648471	0.3939292814
303	0.8329926344	0.3938120244
304	0.8328956676	0.3935400961
305	0.8344086914	0.3932038254
306	0.8339368661	0.3926627374
307	0.8335618716	0.392512372
308	0.8335618716	0.392469057
309	0.8335618716	0.3922997064
310	0.8335618716	0.392191981
311	0.8338530805	0.3916195071
312	0.8336720348	0.3913413894
313	0.8335749098	0.3913308425
314	0.8338663528	0.3909045885
315	0.8339635458	0.3908409871
316	0.8343388813	0.3905387994
317	0.8343388813	0.3902159356
318	0.8338663528	0.3899109004
319	0.8337691825	0.3899003379
320	0.8339635458	0.3898019212
321	0.8348112157	0.3895143844
322	0.8357553028	0.3891866201
323	0.8353806544	0.3888914377
324	0.835852636	0.3887144691
325	0.8357553028	0.3883997836
326	0.8351030731	0.3879535945
327	0.835852636	0.3876472191
328	0.8360473704	0.3873823054
329	0.8364218148	0.3870857349
330	0.8364218148	0.3869280532
331	0.8364218148	0.3865684294
332	0.8362270558	0.3864913164
333	0.8364218148	0.3861509097
334	0.8362270558	0.3860635969
335	0.8362270558	0.385864349
336	0.8365192282	0.3856917859
337	0.8365192282	0.3854192957
338	0.8373648797	0.3851376806
339	0.8370883635	0.384864487
340	0.8377549492	0.3846553484
341	0.8377549492	0.3846296592
342	0.8376573977	0.3845161533
343	0.837559869	0.3843546066
344	0.837559869	0.3840022113
345	0.8376573977	0.3836949638
346	0.8385022997	0.3834246064
347	0.8385998981	0.3829508235
348	0.8387951631	0.3826999758
349	0.839088231	0.382272397
350	0.839088231	0.3821893924
351	0.839088231	0.3821858767
352	0.838990519	0.3820695359
353	0.838990519	0.3817750734
354	0.839088231	0.381472129
355	0.839088231	0.381430554
356	0.8399325244	0.3811192019
357	0.8393638942	0.3808536635
358	0.8393638942	0.3807913962
359	0.8393638942	0.3804753572
360	0.8400121994	0.3801889174
361	0.8406781233	0.379845116
362	0.8410505635	0.3796190154
363	0.8410505635	0.3795951841
364	0.8410505635	0.3795817862
365	0.8410505635	0.3795513206
366	0.8399505805	0.3791155131
367	0.8412462211	0.3788356829
368	0.8417163205	0.3784863075
369	0.8417163205	0.3783122953
370	0.8417947263	0.3781637289
371	0.8413249578	0.3779930902
372	0.8419904313	0.37784258
373	0.8421862272	0.377684861
374	0.8436928283	0.3771071368
375	0.8434195351	0.3768139981
376	0.8434195351	0.3767091898
377	0.8431460027	0.3765160651
378	0.8436928283	0.3761462108
379	0.8443582085	0.3759710526
380	0.843987072	0.3756605407
381	0.843987072	0.3754751178
382	0.843615697	0.3752113204
383	0.843615697	0.3751258837
384	0.844281521	0.3747084282
385	0.845121844	0.3745048334
386	0.8452200854	0.3743556883
387	0.8454925505	0.374183724
388	0.8456890791	0.3739231838
389	0.8464298245	0.37371883
390	0.8459612835	0.373588117
391	0.8453183496	0.3732358795
392	0.8456890791	0.3730301662
393	0.8457873777	0.3728020582
394	0.8457873777	0.3725575439
395	0.8461578808	0.372343737
396	0.8460595707	0.3722589478
397	0.8464298245	0.3721059036
398	0.8465281461	0.3717274591
399	0.8466264905	0.3716674942
400	0.8466264905	0.3716577778
401	0.8466264905	0.3715218987
402	0.8483020721	0.3711234235
403	0.8487696553	0.3708673671
404	0.8487696553	0.3707291614
405	0.8487696553	0.3705296533
406	0.8487696553	0.3703478849
407	0.8487696553	0.3702772844
408	0.8485727388	0.3700533988
409	0.8494087036	0.3699406728
410	0.8504408889	0.3694068979
411	0.8505394718	0.3692605969
412	0.8508088554	0.3691166184
413	0.8508088554	0.3690630805
414	0.8516426983	0.3689926689
415	0.8513738194	0.3688520693
416	0.8515440822	0.3688434404
417	0.8515440822	0.3687547044
418	0.8512751915	0.3685229898
419	0.8512751915	0.3684949443
420	0.8517413372	0.3683677474
421	0.8519386836	0.368057409
422	0.8521361214	0.3676949031
423	0.8521361214	0.3676801077
424	0.8519386836	0.3675058221
425	0.8523336508	0.3672268621
426	0.8528986421	0.3671075457
427	0.8527009992	0.3669172868
428	0.8528986421	0.3662950109
429	0.8528986421	0.3661325225
430	0.8528986421	0.3660895039
431	0.8525312718	0.3658635202
432	0.8523613568	0.3656681206
433	0.8524602366	0.3653066768
434	0.8525591393	0.3651196322
435	0.8531246849	0.3649098049
436	0.8533931503	0.3646917684
437	0.8533931503	0.3645469332
438	0.8533931503	0.3643161248
439	0.8533931503	0.3640175464
440	0.8534921208	0.3636169916
441	0.8535911142	0.3635248264
442	0.8534217014	0.3632380646
443	0.8536198273	0.3630881796
444	0.8536198273	0.3629279124
445	0.8536198273	0.3629210754
446	0.8544536915	0.3626128403
447	0.8556532517	0.3624853991
448	0.8557524492	0.3623151763
449	0.8557524492	0.3621115854
450	0.85558431	0.361873871
451	0.8559509131	0.3615623044
452	0.8554850772	0.3613403261
453	0.85558431	0.3612328348
454	0.8557524492	0.361075482
455	0.8553858674	0.360963773
456	0.8552866807	0.3606223595
457	0.85558431	0.360475539
458	0.8565841505	0.3602091662
459	0.8570493147	0.359968689
460	0.8576811149	0.3596523526
461	0.8587092776	0.3593712442
462	0.8586099141	0.3591664626
463	0.8595712447	0.3586492389
464	0.8599358156	0.3585061336
465	0.8603001534	0.3582530574
466	0.8603001534	0.358150065
467	0.8595712447	0.3580585873
468	0.8598363161	0.3579808685
469	0.8594717557	0.3578308884
470	0.8598363161	0.3576068161
471	0.8597368397	0.3574650103
472	0.8597368397	0.3573032161
473	0.8602006436	0.3569693125
474	0.8599358156	0.3568840041
475	0.8595712447	0.3567917972
476	0.8596707568	0.3566897542
477	0.8605647383	0.3565658823
478	0.8609286004	0.3564852057
479	0.8603001534	0.3564069694
480	0.8603001534	0.3563587514
481	0.8613917709	0.3561376735
482	0.8608633677	0.3560374044
483	0.8599694314	0.3559094618
484	0.8603340437	0.3556417572
485	0.8599694314	0.3556267952
486	0.8600690358	0.3554665644
487	0.8606984229	0.3553756829
488	0.860598821	0.355249752
489	0.8598698502	0.3551023579
490	0.8601686632	0.3547844404
491	0.8602683137	0.3544754776
492	0.8605674037	0.3543094285
493	0.8605017628	0.3540289515
494	0.8603022283	0.3538493735
495	0.8610663495	0.3536555605
496	0.8614310755	0.3534341005
497	0.8613312297	0.3531030412
498	0.8614310755	0.3528150307
499	0.8617955679	0.3526715209
